ungendered,gendered
Bundespräsidentenwahl,Bundespräsidentschaftswahl; BP-Wahl
Bundestagspräsident,Bundestagsvorsitz
Bürge,bürgende Person
Bürger (sg.),Mitglied des Staates / der Stadt; dem Staat zugehörige Person; Mitmensch; rat-/hilfe-/unterstützungssuchende Person [im Verwaltungskontext]; Individuum; Einzelperson; einzelner Mensch innerhalb der Bevölkerung; bürgerliche Person [historischer Kontext]
Bürger (pl.),Bevölkerung; Einwohnerschaft; (Kommunal-)Wahlberechtigte; Staatsangehörige; Einheimische; im Ort/in der Stadt ... Wohnende; Stimmberechtigte; allgemeine Öffentlichkeit; breites Publikum; bürgerliche Bevölkerung; Bürgerschaft; Bürgertum
"... Die Verwaltung rief alle Berliner dazu auf, sich für die Aufgabe zu melden.","... Die Verwaltung rief alle in Berlin Wohnenden dazu auf, sich für die Aufgabe zu melden."
Bürgeramt,Amt; Gemeindeamt; Verwaltung
Bürgerbeteiligung,Direkte Demokratie; Beteiligung der Bevölkerung
Bürgerbüro,(städtisches/kommunales) Service Center/Servicebüro; Stadtteilbüro; Stadtbüro; Nachbarschaftbüro; Gemeindebüro; Kommunalbüro; Informationsbüro (für Anwohnende); Büro für bürgerliche Belange; Informationsstelle (für Ratsuchende)
Bürgerhaus,Gemeindehaus; Stadthaus; Kulturzentrum; Stadtteilzentrum; selbstverwaltetes Zentrum
Bürgerkrieg,Volkskrieg
Bürgermeister (sg.),Stadtoberhaupt; Verwaltungsleitung; Oberhaupt einer Kommune
Bürgermeisterkandidat,Kandidatur für das Amt des Stadtoberhaupts
bürgernah,serviceorientiert; bedürfnisorientiert; publikumsorientiert; menschenorientiert; im Kontakt
... bürgernahe Verwaltung,... serviceorientierte Verwaltung; menschenorientierte Verwaltung; Verwaltung im Kontakt mit den Menschen; Verwaltung auf Augenhöhe
Bürgernähe,Volksnähe; Bevölkerungsnähe
Bürgerrat,Volksrat; Menschenrat; Bewohnendenrat; bürgerlicher Rat; Bevölkerungsrat
Bürgerrechte,Rechte des deutschen (oder anderer Staaten) Staatsvolkes
Bürgerrechtsbewegung,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Bürgersteig,Gehweg; Fußweg
Bürgervertretung,Vertretung der Öffentlichkeit
Bürgerzentrum,Kulturzentrum; Stadtteilzentrum; selbstverwaltetes Zentrum
Bürokrat,bürokratische Person; bürokratisch veranlagte Person
Busfahrer (sg.),Busführung; busführende Person; Busfahrpersonal; Buspersonal
... Die Reise wird von den Busfahrern Frau Schulz und Herr Meier begleitet.,... Während der Reise haben Frau Schulz und Herr Meier die Busführung. / ... Während der Reise fahren Frau Schulz und Herr Meier den Bus.
Callcenter Agent,telefonische Beratung der Kundschaft
Callcenteroperator,Callcenteroperierende Person
Callcenteroperatoren (pl.),Callcenteroperierende
Camper (sg.),campende Person; zeltende Person; Zeltplatzmensch; Camping liebende Person
Case-Manager (pl.),Case-Management; Case-Managende
Chef,vorgesetzte Person; Leitungsperson; Leitung; Kopf (eines Unternehmens / einer Abteilung); Führungskraft
Chefs ,Vorgesetzte; Leitung
Chefarzt," Ärztliche Leitung; Ärztliche Klinikleitung

 "
Chefarztbehandlung,chefärztliche Behandlung
Chefsache,Sache mit oberster Priorität; Angelegenheit mit besonderer Wichtigkeit; dringliche Sache
Chemiker (sg.),Fachkraft für Chemie
Chirurg,chirurgische Fachkraft; chirurgische Fachperson; ärztliche Fachkraft der ...-Chirurgie
Chirurgen,chirurgisches Fachpersonal
Chirurgenstahl,Chirurgiestahl
Christen,Menschen christlichen Glaubens
Chorleiter (sg.),Chorleitung
