ungendered,gendered
Sterbender,sterbende Person
Steuerberater (sg.),Steuerberatung; Steuerkanzlei; zu Steuern beratende Person; der steuerberatenden Berufe angehörige Person
Steuerberater (pl.),Angehörige der steuerberatenden Berufe
Steuerberaterpraxis,Steuerberatungspraxis
Steuerhinterzieher (pl.),Steuerhinterziehende
Steuerschuldner (sg.),steuerschuldige Person
Steuerzahler (sg.),steuerzahlende Person; steuerpflichtige Person
stiefmütterlich,stiefelterlich; achtlos; nachlässig; gleichgültig; lieblos
Stifterrat,Stiftungsrat
Stifterversammlung,Stiftungsversammlung
Stimmzähler (sg.),Stimmen zählende Person; Stimmen zählendes Mitglied
Stipendiat,geförderte Person
Stipendiaten,Studierende mit Stipendium; Geförderte
Störer (pl.),Störende
Strafgefangener,Person in Haft
Sträfling,Person in Haft
Straftäter,straffällige Person
Strahlemann [bei Babys],Sonnenschein
Streamer (pl.),Streamende
Strichmännchen,Strichfigürchen; Strichmensch; Strichmenschlein
Strohmann,Strohmensch; Strohfigur
Strohmänner,Strohleute
Student,Studi; Mitglied der Studierenden
Studenten,Studierende; Studis
Studentenjob,Studierendenjob; Studijob; Job
Studentenwerk,Studierendenwerk
Studentenwohnheim,Studierendenwohnheim
Studienanfänger (pl.),"Studienbeginnende; ""Erstis""; Erstsemestrige"
Studienaussteiger (pl.),Studienabbrechende
Studienbewerber (pl.),Studienbewerbungen; Einschreibungen
Subunternehmer,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Supervisor,"Person mit Führungsverantwortung; Person mit leitender Funktion/mit
Kontrollfunktionen; Person, die Supervision anbietet <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht, insbesondere für psychologisch ausgebildete Person, die Supervision anbietet; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Supervisoren,Supervidierende
Supporter (pl.),Mitwirkende; Befürwortende
Sympathisant,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Systemadministrator,Systemadmin; Systemadministration
Systembetreuer,Systembetreuung
Tagesmutter,"Tagespflege(person); Tagesbetreuung; Kinderbetreuung; <div class=""tooltip"">Tageselter [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">laut Duden: der oder das Elter (Singular von Eltern)</span> </div>"
Tagesmütter,Tageseltern
Talkmaster (sg.),Moderation; moderierende Person
Tante-Emma-Laden,Minimarkt; Laden für Waren des täglichen Bedarfs
Tanten und Onkel,Geschwister der Eltern
Tänzer (pl.),Tanzende; Tanzbegeisterte
Tatbeteiligter (sg.),an einer Tat beteiligte Person
Tatbeteiligte (pl.),[im Plural ist dieses Wort schon gendergerecht]
Täter (sg.),Unrechtsperson
Täter (pl.),"Unrechtspersonen; <div class=""tooltip"">Tatbegehende [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">nicht immer korrekt, da Straftaten nicht nur durch Tun begangen werden können, sondern auch durch Unterlassen</span> </div>; Kriminelle; (Straf-)Tat begangen von... "
Täterrolle,Tatbegehende
Taucher (sg.),Tauchsport ausübende Person; tauchende Person
Täufling,"Taufkind; getauft werdende Person; zu taufende Person <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht, insbesondere für den erwachsenen Täufling; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Teamleiter (sg.),Teamleitung
Teampartner,"Teammitglied; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Techniker (sg.),technische Fachkraft
... staatlich anerkannter Techniker,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Technologe,Technologiefachkraft
Teilnehmer (sg.),mitwirkende Person; teilnehmende Person
Teilnehmer (pl.),"Teilnehmende; Beteiligte; alle, die an ... teilnehmen; Anwesende; Anmeldungen"
... Wie viele Teilnehmer wird der Kurs haben?,... Wie viele Anmeldungen gibt es für den Kurs?; Wie viele haben sich für den Kurs angemeldet?
... Die Teilnehmer waren zufrieden.,"... Alle, die teilnahmen, waren zufrieden."
Teilnehmergebühr,Teilnahmegebühr; Kursgebühr; Kosten
Teilnehmerliste,Teilnahmeliste; Anwesenheitsliste; Teilnehmendenliste
teilnehmerorientiert,subjektorientiert; personorientiert; teilnehmendenorientiert; gruppenorientiert
Teilnehmerzahl,Teilnahmezahl; Gruppengröße; Anmeldezahl
Telemitarbeiter (sg.),"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Telemitarbeiter (pl.),Telemitarbeitende
Terrorist,des Terrors verdächtigte Person; eines Terroranschlags überführte Person
Terroristen,Terrorisierende
Tester (pl.),Testende; Testpersonen
Testleiter (sg.),Testleitung
Theaterpädagoge,theaterpädagogische Fachkraft
Theoretiker (pl.),theoretisch Arbeitende
Therapeut,therapeutisches Fachpersonal
Therapeuten,Therapierende
Tierarzt,tiermedizinisches Fachpersonal
Tierhalter,tierhaltende Person
Tierschützer (sg.),im Tierschutz engagierte Person
Tierschützer (pl.),Tierschützende
Tontechniker,tontechnische Fachkraft
Töpfer (sg.),töpfernder Mensch
Torhüter,torhütende Person
Torwart,torhütende Person
Tourguide,Tourleitung; Reiseleitung
Touristen,"<div class=""tooltip"">Urlaubsgäste [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">siehe Anmerkung unter 'Gäste'</span> </div>"
Träger,Trägerschaft; verantwortliche Einrichtung/Körperschaft
Trainer (sg.),Übungsleitung; moderierende Person
Trainer (pl.),Moderierende; Referierende; Vortragende; Unterrichtende; Lehrende
Transatlantiker (pl.),Menschen (in der Politik) mit transatlantischen Gedanken
Trauzeuge,die Trauung bezeugende Personen; Trauungsbegleitung
Trauzeugen,die Trauung Bezeugende; Trauungsbegleitung
Treuhänder,treuhändisch beauftragte Person
Tüftler,tüftelnde Person
der Türke [im Sinne vom Gemüse-/Obstladen] ,türkischer Gemüse-/Obstladen; Laden um die Ecke; kleiner Gemüseladen
Turnschwestern,Turngeschwister
Tutor,studentische Hilfskraft; Übungsgruppenleitung; Tutoriumsleitung
Tutoren,Übungs(an)leitende; Tutoriumsbegleitende; Ratgebende; Begleitung; studentische Hilfskräfte
"... Andreas und Elsa sind Tutoren für die Übungen zur Vorlesung ""Mathematik für Biologen"".","... Andreas und Elsa leiten die Übungen zur Vorlesung ""Mathematik für das Biologiestudium"". / Andreas und Elsa betreuen die Übungen zur Vorlesung ""Mathematische Grundlagen
(Biologie)""."
Überbringer,überbringende Person
übermannen,überkommen; überwältigen
Übersetzer (pl.),Übersetzende; Literatur Übersetzende
Übungsleiter (sg.),sportliche/technische/praktische Anleitung; anleitende Person
Umschüler (pl.),Umlernende; Umschulende; die zu Qualifizierenden; Personen in beruflicher Neuorientierung
Unbekannter,unbekannte Person
unbemannt,ohne Besatzung; maschinengesteuert; autonom; ferngesteuert; unbesetzt; robotisch; personenlos
... unbemannte Raumfahrt,"<div class=""tooltip"">... robotische Raumfahrt [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">im Gegensatz zu astronautischer Raumfahrt</span> </div>"
Unternehmer (sg.),Gewerbe betreibende Person; selbstständige Person
Unternehmer (pl.),Selbstständige; Wirtschaftstreibende; Geschäftsleute; Gewerbe Betreibende
Unterstützer (sg.),support; Förderung durch ...; unterstützendes Unternehmen; unterstützende Person
Unterstützer (pl.),support; Geldgebende; Förderung durch ...; Mitwirkende; Befürwortende
Unterzeichner (sg.),unterzeichnende Person; unterzeichnende Partei; Unterschrift
Unterzeichner (pl.),Unterzeichnende; Unterschriften
Urheber,Person der Urheberschaft
Urheberrecht,"Recht auf Urheberschaft; [nicht zu empfehlen: <div class=""tooltip"">Copyright [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">juristisch etwas anderes: Copyright ist ein Verwertungsrecht, das abgegeben werden kann; Urheberrecht kann nicht abgegeben werden</span> </div>; <div class=""tooltip"">Recht auf geistiges Eigentum [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">ist sehr viel allgemeiner als Urheberrecht</span> </div>]"
Urlauber (sg.),reisende Person; urlaubende Person
Urlauber (pl.),Reisende
User (pl.),"Nutzende; Personen, die Apps/Software nutzen; Mitglieder"
... Wie viele User hat diese Website? / Wie oft wird diese Website genutzt?,... Wie viele Mitglieder hat diese Website?
V-Mann,V-Person
V-Männer,V-Leute
Vater,Elternteil
... Bei der Geburt eines Kindes steht dem Vater ein Tag bezahlter Sonderurlaub zu.,... Bei der Geburt eines Kindes steht dem anderen Elternteil ein Tag bezahlter Sonderurlaub zu.
Vaterland,Heimatland; Geburtsland; Erstland
väterlicherseits,"<div class=""tooltip"">[vornamen-]licherseits [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">bei gleichgeschlechtlichen Elternpaaren, z.B. janlicherseits, olaflicherseits</span> </div>"
Veganer,vegan lebende Person
Vegetarier,vegetarisch lebende Person
Veranstalter (sg.),veranstaltet durch/von ... ; Organisation; Ausrichtung
Veranstalter (pl.),Einladende; veranstaltet durch/von ... ; Organisation; Ausrichtung
Verantwortlicher (sg.),die Verantwortung tragende Person; verantwortliche Person
Verantwortliche (pl.),[im Plural ist dieses Wort schon gendergerecht]
Verbandsgesellschafter (pl.),Vertretungen / Beteiligte der Verbände
Verbandsvertreter (pl.),Vertretungen / Beteiligte der Verbände
Verbraucher (pl.),"Kundschaft; Konsumierende; Privatpersonen; Verbrauchende;  <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht, z.B. zu Verbraucher im Sinne des BGB; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Verbraucherschutz,"Konsumierendenschutz <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Verbraucherschützer (sg.),für den Verbraucherschutz beauftragte Person
Verbrecher (sg.),"Person, die eine Straftat/ein Verbrechen begeht"
Verbrüderung,Verschwisterung
Verbündeter,ein Bündnis einhaltende Person; verbündete Person
"... Bald entscheidet es sich, ob die Zeit unser Verbündeter ist.","... Bald entscheidet sich, ob die Zeit mit uns verbündet ist."
Verfasser (pl.),verfasst von; Autorenschaft 
Verfechter,für einen Standpunkt einstehende Person; für ... einstehende Person
Verfolger,verfolgende Person
Verfolgungsakteure,Verfolgende
Verhandlungspartner,Verhandlungsgegenseite; Verhandlungsgegenüber
Verkäufer (sg.),"Kaufhauspersonal; Personal; Verkaufskraft; Verkaufsperson; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Verkäufer (pl.),Kaufhauspersonal; Personal; Verkaufskräfte; Anbietende; Handeltreibende; Verkaufende
Verkehrssünder (sg.),Verkehrsregeln missachtende/verstoßende Person
Verkehrsteilnehmer (pl.),Verkehrsbeteiligte
Verleger (pl.) ,Publizierende
Verleiher (sg.),verleihende Person
Verletzter (sg.),verletzte Person
Verlierer (sg.),der letzte Platz
Verlierer (pl.),die Letzten
Verlobter (sg.),verlobte Person
Verlobte (pl.),[im Plural ist dieses Wort schon gendergerecht]
Vermieter (sg.),vermietende Person
Vermittler (sg.),Mittelsperson
Versender,versendende Person; versendet von ... 
Versichertenkarte,Versicherungskarte; Gesundheitskarte; Krankenkassenkarte
Versichertennummer,Versicherungsnummer
Versicherungsnehmer (sg.),"<div class=""tooltip"">versicherte Person [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Versicherungsnehmer*in und versicherte Person müssen nicht identische Personen sein: Versicherungsnehmer*in = Person, die Versicherung abschließt. Versicherte Person = Person, die Versicherungsschutz genießt</span> </div>, Versicherung abschließende Person"
Versicherungsnehmer (pl.),"<div class=""tooltip"">versicherte Personen; Versicherte [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">Versicherungsnehmer*innen und versicherte Personen müssen nicht identische Personen sein: Versicherungsnehmer*innen = Personen, die Versicherung abschließen. Versicherte Personen = Personen, die Versicherungsschutz genießen</span> </div> , Versicherung abschließende Personen"
Verstorbener,verstorbene Person
Versuchsleiter (sg.),Versuchsleitung
Verteidiger (sg.),Verteidigung; Rechtsvertretung
Vertragspartner (sg.),Vertragspartei; Vertragsperson
Vertragspartner (pl.),Vertragsparteien
Vertreter (sg.),in vertretender Position; Mitglied von ... 
Vertreter (pl.),vertreten durch; Vertretung; Delegierte; Abgesandte; Abgeordnete; Beauftragte; Mitglieder; Vertretende
... Vertreter der Presse,... Mitglieder der Presse
... gesetzlicher Vertreter,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Vertriebler (pl.),Vertriebsmitarbeitende
Verursacher (sg.),verursachende Person
Verursacher (pl.),Verursachende
Verwalter,verwaltende Person/Firma/Institution; Verwaltung
Verwandter (sg.),Familienmitglied
Verwender (sg.),verwendende Person
Verwender (pl.),Verwendende
Veteran,altgediente Person
Veteranen,Altgediente; ehemalige Kriegsteilnehmende
Virologen (pl.),Menschen mit Fachgebiet Virologie; medizinisches / ärztliches Fachpersonal mit Expertise in Virologie
Vizepräsident,"Vizevorsitz; Vizepräsidentschaft; Vize; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht: senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Volkswirte / Volkswirtschaftler (pl.),Fachleute der Volkswirtschaft; Graduierte der Volkswirtschaft; Studierende der Volkswirtschaft
Volontärsbeauftragter,beauftragte Person fürs Volontariat
Vordenker (sg.),vordenkende Person; Weg bereitende Person
Vordermann,"Person davor; Person, die davor kam"
"... Halten Sie 1,5m Abstand zum Vordermann.","... Halten Sie 1,5m Abstand zu anderen. / ... Halten Sie 1,5m Abstand zur Person vor Ihnen."
Vorgänger,vorangegangene Person; Person vor mir
Vorgängerprojekt,Vorprojekt; vorangegangenes Projekt
Vorgängerstudie,Vorstudie; vorangegangene Studie
Vorgesetzter,Führungskraft
Vormund,die Vormundschaft innehabende Person; Vormundschaft
... Vormund ist Frau Schulz.,... Die Vormundschaft hat Frau Schulz.
Vorläufer (sg.),älteres/altes Modell
Vorreiter,"Person an der Spitze; Person, die etwas vorlebt; Person, die voraus denkt/handelt"
Vorreiterrolle,Führungsrolle
Vorsitzender (sg.),den 1. Vorsitz hat ... 
Vorstand (sg.),Vorstandsmitglied; im Vorstand
... Wer sind die anderen Vorstände?,... Wer sind die anderen Vorstandsmitglieder? / Wer ist noch im Vorstand?
Wachmann,Wachpersonal
Wächter (sg./pl.),Wache
Wähler (pl.),"Wahlberechtigte; alle, die zur Wahl gegangen sind; Stimmberechtigte; Wahlvolk"
"... Die Parteien hoffen, dass am Sonntag möglichst viele Wähler zur Urne gehen.","... Die Parteien hoffen, dass am Sonntag möglichst viele Wahlberechtigte zur Urne gehen."
... Am Wahlsonntag äußerten die Wähler ihren Unmut über die aktuelle Regierung.,"... Das Wahlergebnis macht den Unmut aller, die zur Wahl gegangen sind, über die aktuelle Regierung deutlich."
Wahlhelfer,"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Wählerinitiative,Initiative der Wahlberechtigten
Wählerverzeichnis,Wählendenverzeichnis; Wahlverzeichnis
Wählerstimme,Wahlstimme
Wahlmänner,Wahlleute
Waidmannsheil!,Waidleutsheil!
Wanderer (sg.),wandernde Person; Person auf Wanderung
Wart,überwachende Person
Wegbegleiter (sg.),wegbegleitende Person; Wegbegleitung
Wegbereiter (sg.),Weg bereitende Person; prägende Person
Wegewart,Wege überwachende Person
Weggefährte,Wegbegleitung
Weggefährten,"Wegbegleitungen, <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
weltmännisch,kosmopolitisch; weltgewandt
Weltmarktführer (pl.),Weltmarktführende
Werkstudent,Werkstudi; studentische Hilfskraft; studentische Stelle; studentischer Job
Werkstudenten,Werkstudierende
Werkstudentenstelle,Werkstudierendenstelle
Werkzeugmechaniker,Fachkraft für Werkzeugmechanik
Wettbewerber (sg.),Konkurrenz; Wettbewerbsteilnehmende
Widersacher,Widerpart; Konkurrenz
Widerstandskämpfer (pl.),Widerstandsleistende
Wiederholer (pl.) [z.B. einer Prüfung],Wiederholende
Wikipedianer,Menschen hinter Wikipedia; Mitwirkende bei Wikipedia
Wilderer,"wildernde Person; Person, die wildert; Person, die unbefugt jagt"
Winzer (sg.),Weinbau betreibende Person
Wirtschaftsprüfer (pl.),Angehörige der wirtschaftsprüfenden Berufe
Wirtschaftswissenschaftler (pl.),Forschende der Wirtschaft(swissenschaft)
Wissenschaftler (sg.),Mensch aus der Wissenschaft; forschende Person
Wissenschaftler (pl.),Forschende; wissenschaftliches Personal der Universität; Menschen aus der Wissenschaft; wissenschaftliche Arbeitskraft
wissenschaftlicher Mitarbeiter,wissenschaftlich mitarbeitende Person; wissenschaftliche Fachkraft
wissenschaftliche Mitarbeiter,wissenschaftliche Mitarbeitende
Wissensträger,Wissenstragende Person; des Wissens mächtige Person
Witwer (pl.),Verwitwete
Workshopleiter (sg./pl.),Workshopleitung
Xylophonspieler (pl.),Xylophon Spielende
YouTuber,"auf Youtube arbeitende/performende Person; Person auf Youtube; einen Youtube-Kanal betreibende Person; <a href=""https://geschicktgendern.de/kontakt""> weitere Alternativen gesucht; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Zahlungsempfänger,Zahlung empfangende Person
Zahnarzt,zahnärztliches Fachpersonal; Fachkraft der Zahnmedizin; zahnmedizinisches Fachpersonal
Zahnarztpraxis,Praxis für Zahnerhaltung; zahnmedizinische Praxis; Praxis für Zahnmedizin
Zauberer (sg.),Zaubertrick vorführende Person; (schwarze) Zauberkraft aufübende Person
Zauberer (pl.),Zauberkunstschaffende
Zehnkämpfer (sg.),am Zehnkampf teilnehmende Person
Zeitarbeitnehmer (pl.),Zeitarbeitnehmende
Zeitgenosse,Mitmensch
Zeitwächter,Zeitwache
Zeitzeuge,zeitbezeugende Person; vor Ort gewesene Person
Zeuge,bezeugende Person
Zeugen,Bezeugende
Zimmerer,Zimmereifachkraft
Zimmermädchen,Servicekraft; Raumpflege; Reinigungskraft
Zimmermann,Zimmereifachkraft
Zivilist,Zivilperson
Zivilisten,Zivilpersonen
Zoobesucher (pl.),"<div class=""tooltip"">Zoogäste [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">siehe Anmerkung unter 'Gäste'</span> </div>; Zoobesuche"
Züchter,Fachperson Tier-/Pflanzen-/...-Zucht
Zugang für Rollstuhlfahrer,barrierefreier Zugang
Zuhörer (pl.),Publikum; Auditorium; Zuhörerschaft
Zulieferer,Zulieferfirma
Zuschauer (sg.),Person aus dem Publikum
Zuschauer (pl.),Publikum; Zuschauende
Zuschauerquote,Einschaltquote
Zuschauerzahl,Publikumszahl
Zuständiger,zuständige Person
Zuwanderer (pl.),Zugewanderte; Personen mit Migrationshintergrund; Eingewanderte; Migrierte
